"order_id","product_id","product_category_name","product_weight_g","order_item_id","price","freight_value","order_date","order_status","customer_city","customer_state","seller_city","seller_state"
"80c86e92eef37052119cf0e9a402000a","f908d3bf313a1308bfb2a46ea2685347","brinquedos","100.00",1,"35.00","7.78","2017-10-01","delivered","vinhedo","SP","sao paulo","SP"
"f9a6e72c6b5a49a9aaa0a85b32adc581","71da6d6632902431cdca2b3a8e681b80","beleza_saude","1225.00",1,"184.60","18.54","2017-10-01","delivered","curitiba","PR","scao jose do rio pardo","SP"
"aefefdda7b7a272ca35c44b82b643104","f177b434709ecb652dbee4f4b19aef2f","fashion_bolsas_e_acessorios","200.00",1,"29.99","31.02","2017-10-01","delivered","sao luis","MA","porto alegre","RS"
"38c08fbad68f49682733a8d83e997aa6","b84520a57891e7a8ae2c68741dcc7146","relogios_presentes","250.00",1,"45.00","7.78","2017-10-01","delivered","sao paulo","SP","sao paulo","SP"
"cd9cbb9b4a02d47f00a71acb290605a6","1eb44be9d824d20602d68a0f3346d8d7","cama_mesa_banho","6200.00",1,"260.99","17.20","2017-10-01","delivered","seabra","BA","ibitinga","SP"
"cd9cbb9b4a02d47f00a71acb290605a6","ec03b7c4f40b96139d2ce2ef0b798284","cama_mesa_banho","5900.00",2,"212.50","34.40","2017-10-01","delivered","seabra","BA","ibitinga","SP"
"4a9dc2faaef0d40f57769730138a0be2","652ab2a1bee7f7f0ab475b06cd290865","livros_interesse_geral","700.00",1,"45.00","17.92","2017-10-01","delivered","uberlandia","MG","florianopolis","SC"
"4a9dc2faaef0d40f57769730138a0be2","652ab2a1bee7f7f0ab475b06cd290865","livros_interesse_geral","700.00",2,"45.00","17.92","2017-10-01","delivered","uberlandia","MG","florianopolis","SC"
"4a9dc2faaef0d40f57769730138a0be2","652ab2a1bee7f7f0ab475b06cd290865","livros_interesse_geral","700.00",3,"45.00","17.92","2017-10-01","delivered","uberlandia","MG","florianopolis","SC"
"4a9dc2faaef0d40f57769730138a0be2","652ab2a1bee7f7f0ab475b06cd290865","livros_interesse_geral","700.00",4,"45.00","17.92","2017-10-01","delivered","uberlandia","MG","florianopolis","SC"
"cc97c71d908caa2c0b5754b35ebaccd8","722dc14e0848efdb771dca6de2929c41","beleza_saude","250.00",1,"79.00","42.58","2017-10-01","delivered","maceio","AL","videira","SC"
