"review_id","order_id","review_score","review_creation_date"
"68e602e3915b6eb3af516cdb09de5961","f4544b707c2c9583440b3ea50b0fc3a6",1,"2018-08-31 00:00:00"
"0f5084fcf0c444f3d5dcf3a9906eaa23","e1618c8576ca46d8e460cd2219eb2750",1,"2018-08-31 00:00:00"
"3058dd3c26b382fae64f265dc1bd3274","829dd3ef512422255299763d6cce8f96",2,"2018-08-31 00:00:00"
"ba111b6b5d6264a80e54cd109c98398c","73a15e8fc5de8485d1f16639bc66a273",1,"2018-08-31 00:00:00"
"05d3874965dd1ba4330bab86c5fff9aa","cd5343ffb012a7157ddbcf5720100c01",1,"2018-08-31 00:00:00"
"eeec16a7667595b6bdd2e6b4c6d47216","e7c290bfc31d7eed478c3d3d2d4d2953",2,"2018-08-31 00:00:00"
"90ce115f3007a837435da45c6f9d6c72","e3ce941c85b5ae1ae2862a7344cbb845",2,"2018-08-31 00:00:00"
"8f28fc7d29a09403973697645d73b72a","00310b0c75bb13015ec4d82d341865a4",1,"2018-08-31 00:00:00"
"4ffd9f7aef49eccd6fe4cc4090f0429a","7d65ecd2eaff130dfa5beaec6aeb82d5",2,"2018-08-31 00:00:00"
"2b6649bd0a6f3d3370377e5cbfe7d256","a5875ee134166b373cc08cbea838760c",1,"2018-08-31 00:00:00"
